DBLP:journals/cg/Schaefer85	A modular and integratable approach to CIM	Thomas J. Schaefer	1985

DBLP:conf/dac/Schaefer85	A transistor-level logic-with-timing simulator for MOS circuits	Thomas J. Schaefer	1985

DBLP:journals/jcss/Schaefer78	On the Complexity of Some Two-Person Perfect-Information Games	Thomas J. Schaefer	1978

DBLP:conf/stoc/Schaefer78	The Complexity of Satisfiability Problems	Thomas J. Schaefer	1978

DBLP:conf/stoc/Schaefer76	Complexity of Decision Problems Based on Finite Two-Person Perfect-Information Games	Thomas J. Schaefer	1976

DBLP:conf/ciac/GoldbergP17	TFNP: An Update	Paul W. Goldberg and Christos H. Papadimitriou	2017

DBLP:conf/ciac/BakaliCFFKMNPPP17	Stathis Zachos at 70!	Eleni Bakali and Panagiotis Cheilaris and Dimitris Fotakis and Martin F"urer and Costas D. Koutras and Euripides Markou and Christos Nomikos and Aris Pagourtzis and Christos H. Papadimitriou and Nikolaos S. Papaspyrou and Katerina Potika	2017

DBLP:journals/eccc/GoldbergP17	Towards a Unified Complexity Theory of Total Functions	Paul W. Goldberg and Christos H. Papadimitriou	2017

DBLP:journals/cacm/LivnatP16	Sex as an algorithm: the theory of evolution under the lens of computation	Adi Livnat and Christos H. Papadimitriou	2016

DBLP:journals/mor/CaiCDP16	Zero-Sum Polymatrix Games: A Generalization of Minmax	Yang Cai and Ozan Candogan and Constantinos Daskalakis and Christos H. Papadimitriou	2016

DBLP:journals/teco/OthmanPR16	The Complexity of Fairness Through Equilibrium	Abraham Othman and Christos H. Papadimitriou and Aviad Rubinstein	2016

DBLP:conf/colt/PapadimitriouPV16	Cortical Computation via Iterative Constructions	Christos H. Papadimitriou and Samantha Petti and Santosh Vempala	2016

DBLP:conf/innovations/BabichenkoPR16	Can Almost Everybody be Almost Happy?	Yakov Babichenko and Christos H. Papadimitriou and Aviad Rubinstein	2016

DBLP:conf/innovations/HardtMPW16	Strategic Classification	Moritz Hardt and Nimrod Megiddo and Christos H. Papadimitriou and Mary Wootters	2016

DBLP:conf/innovations/PapadimitriouP16	From Nash Equilibria to Chain Recurrent Sets: Solution Concepts and Topology	Christos H. Papadimitriou and Georgios Piliouras	2016

DBLP:conf/innovations/PapadimitriouV16	On the Computational Complexity of Limit Cycles in Dynamical Systems	Christos H. Papadimitriou and Nisheeth K. Vishnoi	2016

